Player,Pos,Team,Games,Goals,Assists,Points
Brandon Tanev,RD,MON,68,4,23,27
Scott Perunovich,LD,CAR,0,0,0,0
Nils Hoglander,RD,BUF,73,4,22,26
Nils Lundkvist,C,ARI,74,16,19,35
Joonas Donskoi,RD,VAN,81,4,21,25
Kevin Shattenkirk,RD,PHI,74,5,21,26
Travis Boyd,C/RW,NYR,81,11,24,35
Jake Bean,RW,FLA,67,15,19,34
Michael Rasmussen,C/LW,CHI,72,14,21,35
Mattias Janmark,C,CAR,80,38,46,84
Sean Durzi,RD,CGY,82,4,20,24
Luke Kunin,LW,PHI,62,15,21,36
Vladislav Namestnikov,RW,BUF,64,18,15,33
Rasmus Sandin,LW,NJD,76,16,19,35
Nicolas Hague,C,SJS,76,13,22,35
Nate Schmidt,C,NYR,69,11,25,36
Max Pacioretty,LD,NYI,78,4,21,25
Isac Lundestrom,LD,NYI,79,4,21,25
Vinnie Hinostroza,RW,DAL,77,15,19,34
Brett Pesce,C/RW,MON,71,11,26,37
Ryan Suter,LW,SEA,60,15,16,31
Esa Lindell,C,PIT,74,10,25,35
Andreas Johnsson,RW,PHI,75,18,14,32
Dante Fabbro,C,PHI,69,16,16,32
Zach Parise,RD,LAK,73,4,19,23
Nick Bonino,RW,CHI,74,16,17,33
Nicholas Robertson,RW,MON,62,15,19,34
Andrei Kuzmenko,RW,CAR,78,10,23,33
Oliver Ekman-Larsson,C,WAS,73,13,20,33
Jack Rathbone,RW,MON,63,12,22,34
Mason Appleton,LW,EDM,80,14,17,31
Matt Grzelcyk,LW,CBJ,76,13,27,40
Rasmus Asplund,LD,BOS,69,1,25,26
Eric Robinson,LW/RW,SEA,74,14,20,34
Filip Zadina,C/LW,CHI,74,12,22,34
Ben Chiarot,RW,BUF,66,14,19,33
Cody Ceci,C,NJD,68,13,20,33
Patric Hornqvist,C,ANA,76,15,14,29
Jake Evans,LW,SJS,72,13,21,34
Justin Barron,RD,SEA,75,7,15,22
Cam York,LD,ANA,41,4,11,15
Oskar Lindblom,RW,TBL,77,14,16,30
TJ Brodie,RW,TBL,75,14,18,32
Marcus Johansson,LW,PIT,59,16,15,31
Adam Lowry,LW,ANA,67,14,18,32
Brayden Schneider,LD,WPG,81,3,20,23
Timothy Liljegren,LW,VAN,71,15,16,31
Jakob Silfverberg,C,TOR,73,13,19,32
Janis Moser,C,SEA,79,11,23,34
Hampus Lindholm,LD,LAK,63,4,18,22
Ondrej Kase,RD,WAS,78,4,17,21
Sean Monahan,RD,SEA,72,5,17,22
Oliver Kylington,C,WPG,76,15,13,28
Lukas Reichel,LD,WAS,64,3,20,23
Adam Erne,RD,TOR,64,3,20,23
Ryan McLeod,LW,SJS,74,15,15,30
Rem Pitlick,LD,LAK,68,3,19,22
Chris Wideman,LD,CGY,77,3,19,22
John Marino,LW,CAR,36,14,15,29
Colton Sissons,LW,NYI,76,14,15,29
Adam Pelech,LD,NSH,70,4,18,22
K'Andre Miller,RD,LAK,70,4,18,22
Shane Pinto,LW,EDM,74,10,20,30
Ryan Poehling,LW,TOR,47,15,14,29
Jake Muzzin,C,SEA,77,11,20,31
Justin Danforth,LW,NYI,65,11,20,31
Yegor Chinakhov,RD,LAK,54,5,16,21
Derek Grant,RD,VAN,70,5,15,20
Mike Reilly,LD,SJS,73,3,20,23
Henri Jokiharju,C,DET,78,15,15,30
Sean Kuraly,RD,UFA,0,0,0,0
Logan O'Connor,LD,OTT,56,6,14,20
Colin White,RD,NYI,74,3,19,22
Eetu Luostarinen,RD,MIN,50,3,19,22
Tyson Jost,RD,DAL,58,4,17,21
Artem Zub,LD,CHI,67,7,12,19
Rasmus Ristolainen,RD,CBJ,71,6,14,20
Brock McGinn,RD,CAR,70,6,14,20
Carson Soucy,RD,SJS,69,4,18,22
David Kampf,RD,CBJ,81,4,18,22
Brett Howden,RD,NYR,70,5,23,28
Alec Martinez,LW/RW,NJD,67,13,16,29
Garnet Hathaway,RW,WPG,72,11,18,29
Sebastian Aho (d),LW/RW,VAN,72,13,16,29
Nick Blankenburg,C,SJS,78,15,14,29
Adam Ruzicka,C,ANA,70,14,12,26
Milan Lucic,RW,SEA,72,12,18,30
Aleksi Heponiemi,RW,FLA,66,16,12,28
Blake Lizotte,LD,PIT,75,3,18,21
Yakov Trenin,C,MON,71,13,15,28
Alexander Romanov,LW,CBJ,70,11,17,28
Robin Salo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vitali Kravtsov,RW,ANA,69,13,14,27
Nico Sturm,LW,SJS,77,15,13,28
Noah Gregor,RW,DET,66,15,13,28
Erik Cernak,C/RW,ARI,72,11,19,30
