PLAYER,POS,TEAM,GP,G,A,Points
Noah Cates,W,PHI,70,6,9,15
Justin Braun,D,PHI,75,2,13,15
Markus Nutivaara,D,SJ,54,3,12,15
Garnet Hathaway,W,WAS,50,7,8,15
Trevor van Riemsdyk,D,WAS,69,3,12,14
Trent Frederic,C,BOS,62,7,7,14
Mike Reilly,D,BOS,60,2,12,14
Mattias Samuelsson,D,BUF,65,5,9,14
Trevor Lewis,W,CGY,79,6,8,14
Ben Meyers,W,COL,60,5,9,14
Jacob Peterson,W,DAL,60,10,4,14
Adam Erne,W,DET,76,6,8,14
Philip Broberg,D,EDM,55,4,10,14
Gabriel Vilardi,C,LAK,40,5,9,14
Jacob Middleton,D,MIN,70,4,10,14
Justin Barron,D,MTL,65,6,8,14
Cody Glass,C,NSH,56,5,9,14
K'Andre Miller,D,NYR,68,5,9,14
Nick Holden,D,OTT,71,4,10,14
Jake Sanderson,D,OTT,41,4,10,14
Bobby Brink,W,PHI,45,5,9,14
Logan Brown,C,STL,53,3,11,14
Luke Schenn,D,VAN,66,3,11,14
Michael Amadio,C,VGK,75,7,7,13
Derek Forbort,D,BOS,71,2,11,13
Jakob Pelletier,W,CGY,41,5,8,13
Andrew Cogliano,W,COL,80,5,8,13
Lucas Carlsson,D,FLA,60,4,9,13
Michael Del Zotto,D,FLA,40,3,10,13
Jon Merrill,D,MIN,76,2,11,13
Rem Pitlick,W,MTL,30,5,8,13
Jordan Harris,D,MTL,65,5,8,13
Alexander Holtz,W,NJD,40,4,9,13
Jonas Siegenthaler,D,NJD,70,1,12,13
Dylan Gambrell,C,OTT,73,6,7,13
Chad Ruhwedel,D,PIT,68,3,10,13
Josh Leivo,W,STL,50,7,6,13
Martin Frk,W,STL,50,5,8,13
Alex Barre-Boulet,C,TB,50,8,5,13
Jack Rathbone,D,VAN,44,6,7,13
Jake Leschyshyn,C,VGK,70,4,9,13
Nic Dowd,C,WAS,38,6,7,13
Dominic Toninato,W,WPG,66,6,7,13
Dylan DeMelo,D,WPG,78,2,11,13
Logan Stanley,D,WPG,60,1,12,13
Urho Vaakanainen,D,ANA,60,4,8,12
Liam O'Brien,W,ARI,60,4,8,12
Ilya Lyubushkin,D,BUF,75,1,11,12
Riley Stillman,D,CHI,65,2,10,12
Liam Foudy,C,CBJ,65,4,8,12
Andrew Peeke,D,CBJ,64,2,10,12
Tanner Kero,C,DAL,55,4,8,12
Frederik Olofsson,W,DAL,55,4,8,12
Jani Hakanpaa,D,DAL,69,5,7,12
Jordan Oesterle,D,DET,70,2,10,12
Ryan Murray,D,EDM,49,1,11,12
Eric Staal,C,FLA,40,5,7,12
Alex Turcotte,C,LAK,40,4,8,12
Mikey Anderson,D,LAK,64,2,10,12
Sean Monahan,C,MTL,50,5,7,12
Kieffer Bellows,W,NYI,40,6,6,12
Alexander Romanov,D,NYI,78,2,10,12
Julien Gauthier,W,NYR,60,3,9,12
Ryan Carpenter,W,NYR,76,5,7,12
Zack MacEwen,C,PHI,70,6,6,12
Ryan Poehling,C,PIT,58,7,5,12
Radim Simek,D,SJ,65,3,9,12
Matthew Benning,D,SJ,73,3,9,12
Travis Dermott,D,VAN,74,3,9,12
Max Jones,W,ANA,62,6,5,11
Chase De Leo,C,ANA,40,4,7,11
Dmitry Kulikov,D,ANA,60,2,9,11
Patrik Nemeth,D,ARI,76,2,9,11
Ryan Dzingel,W,CAR,26,4,7,11
Dylan Coghlan,D,CAR,58,3,8,11
Jack Johnson,D,CHI,71,2,9,11
Kurtis MacDermid,D,COL,56,4,7,11
Emil Bemstrom,W,CBJ,45,5,6,11
Erik Gudbranson,D,CBJ,75,3,8,11
Madison Bowey,D,MTL,35,1,10,11
Jesper Boqvist,C,NJD,40,6,5,11
Robin Salo,D,NYI,45,3,8,11
Steven Lorentz,W,SJ,65,5,6,11
Karson Kuhlman,W,SEA,60,4,7,11
Cal Foote,D,TB,59,3,8,11
