NAME,POS,GP,G,A,PTS
Morgan Frost,C/LW,68,9,16,24
Vinnie Hinostroza,LW/RW,72,10,14,24
Warren Foegele,LW,81,11,13,24
Alec Martinez,D,69,6,17,24
Brett Howden,C/LW,73,9,14,24
TJ Brodie,D,81,4,19,24
Connor McMichael,C/LW,76,11,13,24
Adam Pelech,D,78,4,19,24
Keegan Kolesar,C/RW,77,7,16,24
Timothy Liljegren,D,69,6,18,23
Esa Lindell,D,81,5,18,23
Erik Cernak,D,75,6,18,23
Jake Evans,C/FRW,72,9,14,23
Marcus Pettersson,D,78,3,20,23
Michael Rasmussen,C/LW,76,10,13,23
Ondrej Kase,RW,64,11,13,23
Jacob Peterson,C/LW,75,13,10,23
Zach Sanford,LW/RW,79,11,12,23
Logan O'Connor,LW/RW,77,10,14,23
Derek Grant,LW/RW,76,11,12,23
Sean Walker,D,72,6,17,23
Alex Goligoski,D,80,3,20,23
John Marino,D,80,4,19,23
Nic Dowd,C,77,12,11,23
Oliver Kylington,D,68,7,16,23
Isac Lundestrom,C,72,11,11,23
Matt Roy,D,77,4,18,23
William Carrier,LW,78,10,13,22
Dante Fabbro,D,75,4,18,22
Yakov Trenin,LW,74,12,10,22
Tyson Jost,C/LW,81,9,13,22
Brock McGinn,LW/RW,75,11,11,22
Chris Tierney,C/LW,80,6,15,22
Jesper Boqvist,C,68,11,11,22
Ian Cole,D,80,3,18,22
Rasmus Ristolainen,D,78,4,18,21
Erik Brannstrom,D,67,3,19,21
Tyler Myers,D,82,5,16,21
Morgan Geekie,C,73,8,13,21
Patrick Maroon,LW,81,7,14,21
Blake Lizotte,C,76,7,14,21
Caleb Jones,D,69,6,15,21
Ryan Lindgren,D,79,3,18,21
Justin Barron,D,70,5,16,21
Zemgus Girgensons,C/LW,75,11,10,21
Derek Ryan,C/RW,78,7,14,21
Brenden Dillon,D,81,3,18,21
Sam Lafferty,C/RW,71,8,13,21
Martin Fehervary,D,81,7,14,21
Carl Hagelin,LW,76,7,14,21
Mattias Janmark,LW/RW,79,8,13,21
Nick Bjugstad,C/RW,69,9,11,21
Johan Larsson,C/LW,73,8,12,21
Jonathan Dahlen,LW/RW,67,11,10,21
Sammy Blais,LW/RW,62,9,12,21
Alex Edler,D,73,3,17,21
Jake Bean,D,68,5,16,21
Sean Kuraly,C,79,9,12,21
Nick Cousins,LW,78,7,14,21
Brett Kulak,D,77,5,16,21
Zach Whitecloud,D,71,6,14,21
Erik Gustafsson (D),D,72,5,16,21
Cam York,D,68,6,15,20
Zack Kassian,RW,71,8,12,20
Colin White (C),C/RW,68,8,12,20
Nicolas Hague,D,72,5,15,20
Adam Gaudette,LW/RW,73,8,12,20
Ryan Dzingel,C/RW,69,9,11,20
Brian Dumoulin,D,73,4,16,20
Nathan Bastian,RW,75,10,10,20
Ryan Ellis,D,41,5,16,20
Casey Cizikas,C,78,12,8,20
Mike Reilly,D,77,2,18,20
Jack Drury,C,70,8,12,20
Nico Sturm,C/LW,72,10,10,20
Rasmus Sandin,D,67,5,15,20
Eetu Luostarinen,C,72,7,12,20
Jamie Oleksiak,D,80,5,15,20
Chris Tanev,D,72,4,16,20
Oskar Sundqvist,C/RW,71,9,11,20
Jakob Pelletier,LW,60,8,11,20
Brandon Duhaime,LW/RW,81,8,12,20
Connor Murphy,D,75,5,14,20
Nolan Patrick,C/RW,66,8,12,20
Mattias Samuelsson,D,70,2,17,20
Ryan McLeod,C/LW,72,8,11,19
Michael Mcleod,C,74,8,11,19
Jake McCabe,D,72,4,15,19
Nick Jensen,D,80,3,16,19
Milan Lucic,LW,82,8,12,19
Zach Aston-Reese,LW/RW,76,9,10,19
Scott Mayfield,D,78,4,15,19
P.K. Subban,D,79,5,14,19
Joel Edmundson,D,72,6,13,19
Radko Gudas,D,80,4,15,19
Kieffer Bellows,LW/RW,60,9,10,19
Ben Chiarot,D,77,6,13,19
Henri Jokiharju,D,76,4,15,19
Radek Faksa,C,81,7,11,19
Nicolas Aube-Kubel,LW/RW,75,8,11,19
Adam Larsson,D,79,5,13,19
Tomas Nosek,C,77,7,11,19
Michael Del Zotto,D,69,4,14,18
Thomas Harley,D,72,5,13,18
Ryan Merkley,D,64,4,14,18
Colin Miller,D,70,4,14,18
Joel Armia,LW/RW,74,9,9,18
Nick Foligno,LW/RW,77,6,12,18
Parker Kelly,LW/RW,65,9,8,18
Michal Kempny,D,60,4,14,18
Pierre-Edouard Bellemare,C,81,9,9,18
Cody Glass,C/RW,59,7,11,18
Austin Watson,RW,73,8,9,17
Brendan Lemieux,LW,74,8,9,17
Jordan Martinook,LW/RW,73,6,11,17
Marc-Edouard Vlasic,D,80,3,14,17
Adam Erne,LW/RW,78,7,10,17
Michael Amadio,C/RW,71,9,9,17
Erik Johnson,D,74,5,12,17
Alex Vlasic,D,74,4,13,17
Nick Holden,D,72,4,13,17
Sam Carrick,C/RW,63,9,8,17
Ryan Lomberg,LW,70,8,9,17
Tyler Motte,LW/RW,67,9,8,17
Christian Fischer,C/RW,74,8,9,17
Dryden Hunt,LW/RW,69,6,11,17
Nikita Zadorov,D,80,4,13,17
Jacob Middleton,D,75,4,12,17
MacKenzie Entwistle,C/RW,71,7,10,17
Noel Acciari,C/LW,68,9,8,17
Braden Schneider,D,72,3,13,17
David Savard,D,78,3,13,17
Travis Hamonic,D,69,5,11,16
Troy Stecher,D,70,4,13,16
Curtis Lazar,C/RW,75,8,8,16
Carl Grundstrom,LW,69,9,7,16
Luke Glendening,C/RW,80,8,8,16
Jason Dickinson,C/LW,77,7,9,16
Nathan Walker,LW/RW,56,9,7,16
Brandon Carlo,D,75,5,11,16
Mikey Anderson,D,75,3,13,16
Marc Staal,D,78,4,12,16
Jujhar Khaira,LW/RW,68,7,9,16
Cal Clutterbuck,RW,73,6,10,16
Ethan Bear,D,75,4,11,16
Dylan Samberg,D,70,2,14,16
Trent Frederic,C/LW,67,8,8,16
Jan Rutta,D,72,2,13,16
Dysin Mayo,D,70,4,11,15
Alex Barre-Boulet,C/RW,62,8,7,15
Jonas Siegenthaler,D,71,2,13,15
Alex Romanov,D,81,3,12,15
Dmitry Kulikov,D,78,3,12,15
Conor Timmins,D,56,2,13,15
Robin Salo,D,68,4,11,15
Morgan Barron,C/LW,66,7,8,15
Emil Bemstrom,LW/RW,66,7,8,15
Kevin Rooney,C/LW,76,8,7,15
Jordan Harris,D,71,4,10,15
Andrew Peeke,D,67,2,12,15
Jon Merrill,D,76,3,12,15
Steven Lorentz,LW/RW,76,7,8,15
Dylan DeMelo,D,79,1,13,15
Trevor Lewis,C/RW,80,6,8,14
Andrew Cogliano,LW,80,5,10,14
Justin Braun,D,78,3,11,14
Travis Dermott,D,75,4,10,14
Jordan Oesterle,D,71,3,11,14
Andrew Ladd,LW/RW,58,7,7,14
Brayden McNabb,D,77,3,11,14
Nicolas Deslauriers,LW,79,8,7,14
Josh Manson,D,70,4,11,14
Luke Schenn,D,70,4,10,14
Nikita Zaitsev,D,77,3,11,14
Patrick Brown,C,66,6,8,14
Trevor van Riemsdyk,D,71,2,12,14
Devin Shore,C/LW,70,6,7,14
Logan Brown,C/RW,58,5,9,14
Philip Broberg,D,68,3,10,14
Marco Scandella,D,77,4,10,13
