Player,Pos,Team,Games,Goals,Assists,Points
Adam Larsson,RW,NYR,58,12,13,25
Will Borgen,C,CGY,65,12,13,25
Jamie Oleksiak,C,SJS,75,10,15,25
Emil Bemstrom,C,MIN,71,8,17,25
Carl Grundstrom,RW,SJS,70,11,14,25
Luke Schenn,LW,CGY,79,9,16,25
Nick Bjugstad,LW,FLA,62,6,19,25
Philip Broberg,C,WAS,33,5,20,25
William Eklund,RD,VGK,68,8,16,24
Sean Durzi,RD,CGY,82,4,20,24
Erik Gudbranson,RW,TOR,74,10,14,24
Gustav Lindstrom,C/LW,BOS,73,8,16,24
Nikita Zaitsev,C,NJD,75,6,18,24
Jordan Martinook,RW,ARI,70,7,17,24
Zach Parise,RD,LAK,73,4,19,23
Brayden Schneider,LD,WPG,81,3,20,23
Lukas Reichel,LD,WAS,64,3,20,23
Adam Erne,RD,TOR,64,3,20,23
Mike Reilly,LD,SJS,73,3,20,23
Tyler Johnson,LW,BOS,63,12,11,23
Colin Miller,C,WAS,69,10,13,23
Mattias Samuelsson,RW,WPG,67,12,11,23
Ethan Bear,RW,VGK,68,12,11,23
Jake Sanderson,C/RW,DET,64,11,12,23
Max Jones,RW,TBL,62,10,13,23
Brett Kulak,C,NSH,66,9,14,23
Dryden Hunt,LW/RW,STL,58,8,15,23
Jacob Middleton,C,SEA,72,8,15,23
Justin Barron,RD,SEA,75,7,15,22
Hampus Lindholm,LD,LAK,63,4,18,22
Sean Monahan,RD,SEA,72,5,17,22
Rem Pitlick,LD,LAK,68,3,19,22
Chris Wideman,LD,CGY,77,3,19,22
Adam Pelech,LD,NSH,70,4,18,22
K'Andre Miller,RD,LAK,70,4,18,22
Colin White,RD,NYI,74,3,19,22
Eetu Luostarinen,RD,MIN,50,3,19,22
Carson Soucy,RD,SJS,69,4,18,22
David Kampf,RD,CBJ,81,4,18,22
Mavrik Bourque,C/RW,DET,42,14,8,22
Fabian Zetterlund,RW,MON,60,11,11,22
Zemgus Girgensons,C/LW,TBL,40,7,15,22
Brian Dumoulin,C,LAK,62,10,12,22
David Savard,C,DAL,79,8,14,22
Ondrej Kase,RD,WAS,78,4,17,21
Yegor Chinakhov,RD,LAK,54,5,16,21
Tyson Jost,RD,DAL,58,4,17,21
Blake Lizotte,LD,PIT,75,3,18,21
Sam Steel,LD,SEA,78,2,19,21
Nick Cousins,LW,CGY,45,10,11,21
Jason Dickinson,RW,CBJ,52,11,10,21
Jake Walman,RW,BOS,56,10,11,21
Ryan Lindgren,RW,VGK,75,7,14,21
Zack Kassian,RW,SEA,53,8,13,21
Dylan Coghlan,C,CHI,61,10,11,21
Connor Murphy,LW/RW,MIN,80,7,14,21
Derek Grant,RD,VAN,70,5,15,20
Logan O'Connor,LD,OTT,56,6,14,20
Rasmus Ristolainen,RD,CBJ,71,6,14,20
Brock McGinn,RD,CAR,70,6,14,20
Tyler Myers,LD,PIT,65,4,16,20
Erik Gustafsson,RD,DET,70,2,18,20
Joel Armia,LD,BUF,68,2,18,20
Curtis Lazar,C,EDM,75,11,9,20
Brandon Carlo,RW,NJD,59,10,10,20
Jacob Bryson,LW,DAL,68,10,10,20
Josh Manson,C,DAL,40,9,11,20
Joel Edmundson,C/LW,VGK,44,8,12,20
Casey Cizikas,RW,LAK,64,8,12,20
Noah Cates,C/RW,BOS,62,8,12,20
Ian Mitchell,LW,BOS,71,8,12,20
Artem Zub,LD,CHI,67,7,12,19
Trent Frederic,LD,MON,74,4,15,19
Cody Glass,LD,EDM,71,4,15,19
Radek Faksa,LD,VGK,73,3,16,19
Quinton Byfield,LD,PIT,61,3,16,19
Mikey Anderson,RD,OTT,71,3,16,19
Alexander Edler,LD,EDM,67,3,16,19
Dakota Joshua,LW,ANA,63,11,8,19
Sam Lafferty,C,STL,55,11,8,19
Ryan Lomberg,LW,VGK,75,10,9,19
Logan Stanley,C/LW,BUF,58,9,10,19
Kevin Rooney,C,CAR,62,8,11,19
Dmitry Kulikov,C/LW,VAN,72,7,12,19
Niko Mikkola,LW,FLA,53,6,13,19
Justin Braun,LW,DAL,68,4,15,19
Calle Rosen,C,ARI,51,6,13,19
Martin Kaut,LW,NYR,70,5,14,19
Jay Beagle,LW,OTT,58,8,11,19
Alex Barre-Boulet,LD,MIN,69,4,14,18
Brenden Dillon,LD,DAL,51,5,13,18
Sean Walker,LD,NYR,76,3,15,18
Marcus Pettersson,LD,DET,64,3,15,18
Keegan Kolesar,RD,MON,74,4,14,18
Jacob Peterson,LD,CGY,64,2,16,18
Philippe Myers,RW,OTT,66,9,9,18
Zac Jones,LW,NSH,76,10,8,18
Logan Brown,RW,NJD,63,9,9,18
Martin Fehervary,LW/RW,VAN,65,8,10,18
Dylan Demelo,C,VAN,65,8,10,18
