3sheets Sports Entertainment Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,2026 Draft Pick Hawtsawce C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
C,Cayden Lindstrom* C | CLB ,"@NSH 10/09  8:00pm ET","Home: 0 
Away: 2 (@NSH,@MIN)",,0%,0%,0,2,1,0.0,0.0,0.0
F,2027 Draft Pick Hawtsawce F |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
F,Shane Wright C | SEA ,"ANA 10/09 10:00pm ET","Home: 2 (ANA,LV)
Away: 0 ",201,0%,0%,0,0,1,108.0,42.8,120.3
D,Dmitriy Simashev D | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",899,0%,0%,0,1,1,0.0,0.0,7.4
HawtSawwce Goalies
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
G,Joseph Woll G | TOR ,"MON 10/08  7:00pm ET","Home: 1 (MON)
Away: 1 (@DET)",550,0%,0%,2,0,,138.2,81.5,53.9
Reserves
Injured
Active: 12 Reserve: 3 Injured: 6 Active salary: 60.00 Total salary: 90.00 Total Rookie: 3.00
LIP's Lasers Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Logan Cooley C | UTA ,"@COL 10/09  9:00pm ET","Home: 0 
Away: 2 (@COL,@NSH)",141,0%,0%,2,2,,155.2,133.8,139.2
W,Drake Batherson W | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",87,100%,100%,4,2,,159.8,151.8,160.4
W,Jesper Bratt W | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",31,100%,100%,4,0,,204.2,195.0,198.0
W,Cole Caufield W | MON ,"@TOR 10/08  7:00pm ET","Home: 0 
Away: 3 (@TOR,@DET,@CHI)",45,100%,0%,6,1,,181.2,146.8,181.6
D,Jakob Chychrun D | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",215,100%,0%,6,1,,185.2,147.8,115.3
Reserves
W,Alexis Lafreniere W | NYR ,"PIT 10/07  8:00pm ET","Home: 2 (PIT,WAS)
Away: 2 (@BUF,@PIT)",172,100%,0%,2,1,,103.8,115.0,126.7
