share_top_1,share_top_3,share_top_5,share_top_10,hhi,gini,team_id,bucket,total_seconds,num_units,pair_dd_share,pair_ff_share,trio_fwd_share,full_name,tri_code
0.003975755405958274,0.011370351063732806,0.017762720442128753,0.03191101733426042,0.0009137951087068247,-0.6620050184855686,1,trios_EV,3619941.0,3526,,,0.05970511674085296,New Jersey Devils,NJD
0.008316809681301949,0.02268198573589926,0.035689619981292504,0.061796908612742535,0.0017615483291385226,-0.7066582997078545,2,trios_EV,4086062.0,2376,,,0.05589171187319233,New York Islanders,NYI
0.012241641027163646,0.028158298106078884,0.043449215227081256,0.07508928980123045,0.002238209584522073,-0.7688660700949478,3,trios_EV,4041615.0,2650,,,0.0590031460195986,New York Rangers,NYR
0.0070451726627351495,0.015756866188594565,0.024106094833349277,0.043307467512381716,0.001252179191729135,-0.702568276946534,4,trios_EV,3669321.0,3335,,,0.05751500073174301,Philadelphia Flyers,PHI
0.007659548579424469,0.022285088519802883,0.0362727863645242,0.063768519674803,0.0019833414488513693,-0.7646125080048983,5,trios_EV,3123030.0,2973,,,0.05727386544477639,Pittsburgh Penguins,PIT
0.0061384493007392875,0.016513633233118247,0.026498461194397784,0.04803792755542115,0.0013322575072462787,-0.7110171800788919,6,trios_EV,3934870.0,3326,,,0.054517175916866376,Boston Bruins,BOS
0.006518015358281873,0.01703225100926795,0.0261276823336393,0.045120177282978714,0.0013455244710358016,-0.6711994198177799,7,trios_EV,3182257.0,2629,,,0.05800191499303796,Buffalo Sabres,BUF
0.012885686285673445,0.029337657130328078,0.04342108929157647,0.07101921360033628,0.0015656937074355465,-0.6660087479645476,8,trios_EV,3302036.0,2770,,,0.05806175341516567,Montréal Canadiens,MTL
0.005822850014898012,0.016289186004127477,0.02591689612773493,0.04726457353810103,0.0014592994077759747,-0.7096424161084525,9,trios_EV,3366221.0,2726,,,0.05712102681315338,Ottawa Senators,OTT
0.006077437650190433,0.016966339951857222,0.026117662343773818,0.04592412959880676,0.0012414301177376104,-0.6942592350396336,10,trios_EV,3910036.0,3337,,,0.05827567828019998,Toronto Maple Leafs,TOR
0.007165627533699559,0.019317088028581213,0.030699767170624476,0.055816452842296034,0.0017296479308614783,-0.7165451349158667,12,trios_EV,3690256.0,2469,,,0.05713695743601528,Carolina Hurricanes,CAR
